Date;Open;High;Low;Close;Adj Close;Volume
2020-01-21;85;9,00E+15;8,48E+15;8,94E+15;8,94E+15;114110000
2020-01-22;9,02E+15;9,38E+15;9,02E+15;9,24E+15;9,24E+15;142930000
2020-01-23;9,24E+15;9,34E+15;9,04E+15;9,31E+15;9,31E+15;107405000
2020-01-24;9,31E+15;9,50E+15;9,10E+15;9,10E+15;9,10E+15;135695000
2020-01-27;8,80E+15;9,23E+15;8,63E+14;8,96E+15;8,96E+15;147830000
2020-01-28;9,10E+15;9,52E+15;9,10E+15;9,52E+15;9,52E+15;172355000
2020-01-29;9,50E+15;9,59E+15;90;9,15E+15;9,15E+15;272165000
2020-01-30;8,80E+15;9,47E+15;8,66E+14;9,46E+15;9,46E+15;269210000
2020-01-31;9,38E+15;9,97E+15;9,28E+15;9,59E+15;9,59E+15;291190000
2020-02-03;9,70E+15;9,89E+15;9,46E+15;9,59E+15;9,59E+15;184925000
2020-02-04;1,02E+16;1,03E+16;9,58E+15;9,76E+15;9,76E+15;353905000
2020-02-05;9,95E+15;100;9,42E+15;9,60E+15;9,60E+15;199980000
2020-02-06;9,71E+15;9,74E+15;9,43E+15;9,58E+14;9,58E+14;119205000
2020-02-07;9,48E+15;9,86E+15;9,30E+14;9,66E+15;9,66E+15;201200000
2020-02-10;9,59E+15;9,66E+14;8,70E+15;8,73E+15;8,73E+15;330010000
2020-02-11;8,99E+15;9,13E+14;8,09E+15;9,10E+15;9,10E+15;249400000
2020-02-12;9,30E+15;9,36E+15;8,86E+15;9,03E+15;9,03E+15;171120000
2020-02-13;8,80E+14;9,07E+15;8,71E+15;8,97E+15;8,97E+15;86525000
2020-02-14;9,02E+15;9,30E+14;8,97E+15;9,10E+15;9,10E+15;104685000
2020-02-17;9,19E+13;9,28E+15;8,96E+15;90;90;89365000
2020-02-18;8,96E+15;9,42E+15;8,85E+15;9,39E+15;9,39E+15;139210000
2020-02-19;9,49E+14;9,56E+15;9,14E+15;9,41E+14;9,41E+14;141410000
2020-02-20;9,70E+15;1,00E+16;9,50E+15;9,60E+15;9,60E+15;267300000
2020-02-21;9,60E+15;9,88E+15;9,46E+15;9,59E+15;9,59E+15;105280000
2020-02-26;8,98E+15;9,05E+14;8,10E+15;8,18E+15;8,18E+15;206420000
2020-02-27;7,87E+15;8,49E+15;7,53E+16;7,96E+15;7,96E+15;273115000
2020-02-28;7,78E+16;7,93E+15;7,56E+15;7,88E+15;7,88E+15;255330000
2020-03-02;7,87E+15;8,59E+15;7,86E+15;8,46E+15;8,46E+15;165565000
2020-03-03;8,70E+15;9,00E+15;8,31E+15;8,36E+15;8,36E+15;222130000
2020-03-04;8,78E+15;8,78E+15;8,16E+15;8,27E+15;8,27E+15;165630000
2020-03-05;8,15E+14;8,45E+14;7,75E+15;7,91E+15;7,91E+15;126695000
2020-03-06;7,40E+15;7,58E+15;7,02E+15;7,09E+16;7,09E+16;188050000
2020-03-09;4,56E+15;5,52E+15;4,43E+15;4,50E+15;4,50E+15;362630000
2020-03-10;5,56E+15;5,59E+15;4,65E+15;5,11E+15;5,11E+15;343310000
2020-03-11;4,80E+15;5,10E+16;4,40E+15;4,66E+16;4,66E+16;227275000
2020-03-12;3,72E+16;3,72E+16;3,14E+15;3,14E+15;3,14E+15;222380000
2020-03-13;4,01E+15;4,01E+15;3,07E+15;3,73E+16;3,73E+16;289305000
2020-03-16;2,80E+16;3,43E+15;2,77E+16;3,10E+16;3,10E+16;179965000
2020-03-17;3,20E+15;3,26E+15;2,90E+16;2,94E+15;2,94E+15;188130000
2020-03-18;2,58E+16;2,71E+16;1,82E+16;2,07E+15;2,07E+15;322225000
2020-03-19;2,08E+16;2,56E+15;1,87E+16;2,37E+15;2,37E+15;273710000
2020-03-20;2,64E+15;2,92E+16;2,46E+16;2,48E+16;2,48E+16;469945000
2020-03-23;2,40E+16;2,47E+16;2,16E+16;2,38E+15;2,38E+15;217590000
2020-03-24;2,74E+15;2,78E+16;2,52E+16;2,61E+15;2,61E+15;236210000
2020-03-25;2,66E+16;3,68E+15;2,63E+15;3,46E+16;3,46E+16;376785000
2020-03-26;3,30E+15;4,44E+15;3,30E+15;3,79E+16;3,79E+16;452350000
2020-03-27;3,45E+15;3,94E+15;3,39E+15;3,62E+15;3,62E+15;282675000
2020-03-30;3,60E+16;3,78E+16;3,31E+15;3,40E+16;3,40E+16;308520000
2020-03-31;3,53E+16;3,64E+15;3,26E+15;3,34E+16;3,34E+16;254605000
2020-04-01;3,16E+16;3,32E+15;3,01E+16;3,30E+16;3,30E+16;196255000
2020-04-02;3,63E+15;3,95E+15;3,46E+16;3,90E+16;3,90E+16;486350000
2020-04-03;4,15E+15;4,30E+15;3,73E+16;4,17E+15;4,17E+15;478910000
2020-04-06;4,33E+15;5,14E+15;4,24E+15;5,14E+15;5,14E+15;514980000
2020-04-07;5,80E+15;5,98E+15;5,42E+15;55;55;407580000
2020-04-08;5,38E+15;5,82E+15;5,33E+15;5,60E+16;5,60E+16;414420000
2020-04-09;5,78E+14;5,86E+15;4,77E+15;4,94E+15;4,94E+15;450630000
2020-04-13;4,95E+15;5,08E+15;4,59E+15;4,69E+15;4,69E+15;276680000
2020-04-14;4,80E+15;4,98E+15;4,65E+15;4,74E+14;4,74E+14;196450000
2020-04-15;4,40E+15;4,73E+15;4,32E+15;4,70E+15;4,70E+15;191670000
2020-04-16;4,91E+15;4,98E+14;45;45;45;170580000
2020-04-17;4,57E+15;4,60E+16;4,39E+15;4,40E+16;4,40E+16;138020000
2020-04-20;4,10E+15;4,30E+15;4,04E+15;4,12E+15;4,12E+15;311615000
2020-04-22;3,90E+16;4,08E+15;3,82E+15;3,96E+16;3,96E+16;382295000
2020-04-23;4,18E+15;4,29E+15;3,86E+16;3,99E+15;3,99E+15;260660000
2020-04-24;3,90E+16;3,96E+16;3,54E+16;3,71E+16;3,71E+16;239140000
2020-04-27;3,76E+15;3,84E+16;3,57E+15;375;375;149220000
2020-04-28;3,90E+16;4,40E+15;3,81E+15;4,36E+15;4,36E+15;345380000
2020-04-29;4,64E+15;4,77E+14;4,18E+15;4,30E+15;4,30E+15;411520000
2020-04-30;4,30E+15;4,40E+15;4,08E+15;4,09E+15;4,09E+15;206150000
2020-05-04;3,86E+15;4,02E+14;3,82E+15;3,95E+15;3,95E+15;129190000
2020-05-05;4,16E+15;4,36E+15;4,13E+15;4,24E+15;4,24E+15;234695000
2020-05-06;4,20E+15;4,25E+15;40;4,16E+16;4,16E+16;158930000
2020-05-07;4,36E+15;4,38E+15;4,11E+15;4,16E+15;4,16E+15;234460000
2020-05-08;425;4,29E+15;4,03E+15;4,04E+15;4,04E+15;111400000
2020-05-11;4,02E+15;4,23E+15;3,94E+15;4,22E+14;4,22E+14;164710000
2020-05-12;4,31E+15;4,49E+15;4,06E+15;4,16E+15;4,16E+15;226100000
2020-05-13;4,20E+15;4,24E+15;3,95E+15;4,05E+15;4,05E+15;125805000
2020-05-14;3,97E+16;4,24E+14;3,87E+15;4,20E+15;4,20E+15;207060000
2020-05-15;4,27E+15;4,38E+15;4,16E+15;4,16E+15;4,16E+15;220175000
2020-05-18;4,42E+15;50;4,37E+15;50;50;421785000
2020-05-19;4,99E+15;5,41E+16;4,93E+15;5,40E+15;5,40E+15;419745000
2020-05-20;5,52E+14;5,66E+15;5,24E+15;5,25E+15;5,25E+15;280280000
2020-05-21;5,36E+15;5,56E+15;5,25E+15;55;55;304660000
2020-05-22;5,32E+15;5,44E+15;5,15E+16;5,38E+15;5,38E+15;229255000
2020-05-25;5,55E+15;5,89E+15;5,55E+15;5,80E+15;5,80E+15;239345000
2020-05-26;6,11E+15;6,27E+15;575;5,76E+15;5,76E+15;259395000
2020-05-27;5,77E+15;5,97E+14;5,58E+15;5,95E+15;5,95E+15;193480000
2020-05-28;5,95E+15;6,05E+15;5,79E+15;5,85E+16;5,85E+16;147400000
2020-05-29;5,79E+15;6,20E+15;5,70E+15;6,20E+15;6,20E+15;152790000
2020-06-01;6,34E+16;6,39E+15;6,16E+16;6,26E+15;6,26E+15;174785000
2020-06-02;6,40E+16;6,72E+14;6,38E+15;6,72E+16;6,72E+16;198105000
